FSSSI,CERTHHSZ,FSSLTDED,FSERNDED,FSUSIZE,FSDIS,REALPROP,FSERNDE2,SHELDED,FSGA,FSSTDDE2,FSNETINC,TPOV,LIQRESOR,FSASSET,RAWNET,FSNONCIT,FSNELDER,FSGRINC,FSTANF,WRK_POOR,FSEARN,FSSLTDE2,TANF_IND,FSWAGES,FSUNEARN,HWGT,FSTOTDE2,FSTOTDED,RAWERND,CAT_ELIG,VEHICLEA,FSVEHAST
0.0,4.0,398.0,40.0,4.0,0.0,0.0,60.0,398.0,0.0,209.0,92.0,40.0,0.0,0.0,92.0,0.0,0.0,669.0,469.0,1.0,200.0,398.0,1.0,200.0,469.0,749.4024203653986,577.0,577.0,40.0,1.0,1.0,0.0
0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,134.0,756.0,81.0,0.0,0.0,732.0,0.0,1.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,952.088838139332,134.0,134.0,0.0,0.0,1.0,0.0
603.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,139.0,854.0,60.0,0.0,0.0,854.0,0.0,0.0,993.0,390.0,0.0,0.0,0.0,1.0,0.0,993.0,997.1766915079196,139.0,139.0,0.0,1.0,1.0,0.0
0.0,1.0,183.0,0.0,1.0,0.0,0.0,0.0,183.0,0.0,115.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,0.0,0.0,97.0,1.0,0.0,231.0,711.655694960853,231.0,317.0,0.0,1.0,1.0,0.0
0.0,5.0,417.0,47.0,5.0,0.0,0.0,0.0,417.0,0.0,153.0,0.0,28.0,11.0,11.0,0.0,0.0,0.0,537.0,0.0,1.0,237.0,328.0,0.0,237.0,300.0,747.4949387192786,537.0,626.0,47.0,0.0,1.0,0.0
0.0,2.0,152.0,0.0,2.0,1.0,0.0,0.0,152.0,0.0,201.0,858.0,104.0,0.0,0.0,858.0,0.0,1.0,1144.0,0.0,0.0,0.0,152.0,0.0,0.0,1144.0,984.6907159197356,286.0,286.0,0.0,0.0,1.0,0.0
0.0,4.0,0.0,213.0,4.0,0.0,0.0,213.0,0.0,0.0,139.0,714.0,64.0,0.0,0.0,714.0,0.0,0.0,1066.0,0.0,1.0,1066.0,0.0,0.0,1066.0,0.0,951.534062604676,352.0,352.0,213.0,0.0,1.0,0.0
363.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,134.0,1112.0,113.0,0.0,0.0,1112.0,0.0,1.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0,1246.0,1003.1651133253492,134.0,134.0,0.0,1.0,1.0,0.0
603.0,4.0,350.0,0.0,4.0,1.0,0.0,0.0,350.0,0.0,209.0,114.0,36.0,0.0,0.0,114.0,0.0,0.0,603.0,0.0,0.0,0.0,350.0,0.0,0.0,603.0,755.9227959233922,489.0,489.0,0.0,0.0,1.0,0.0
0.0,1.0,387.0,180.0,1.0,0.0,0.0,270.0,388.0,0.0,201.0,202.0,111.0,0.0,0.0,201.0,0.0,0.0,903.0,0.0,1.0,903.0,387.0,0.0,903.0,0.0,777.946179776418,701.0,701.0,181.0,0.0,1.0,0.0
0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,134.0,176.0,28.0,26.0,26.0,176.0,0.0,0.0,310.0,310.0,0.0,0.0,0.0,1.0,0.0,310.0,762.9979470141016,134.0,134.0,0.0,1.0,1.0,0.0
0.0,2.0,417.0,0.0,2.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,0.0,551.0,0.0,0.0,1.0,0.0
0.0,5.0,21.0,129.0,5.0,0.0,0.0,150.0,21.0,0.0,183.0,1201.0,78.0,9.0,9.0,1200.0,0.0,0.0,1513.0,320.0,1.0,648.0,21.0,1.0,648.0,865.0,1138.7174720868086,312.0,312.0,130.0,1.0,1.0,0.0
312.0,1.0,125.0,0.0,1.0,0.0,0.0,0.0,125.0,0.0,201.0,364.0,76.0,992.0,992.0,363.0,0.0,1.0,623.0,0.0,0.0,0.0,125.0,0.0,0.0,623.0,830.1091842290721,259.0,259.0,0.0,1.0,1.0,0.0
